Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2014-04-22;.2;19.6;16.1;14.5;89.1;76;10.2;2.9;
2014-04-23;0;17.6;14.5;12.7;86.6;76;7.5;2.1;
2014-04-24;0;17.5;14.2;12.5;85.9;72;7.7;2.5;
2014-04-25;0;16.7;12.6;9.6;79.6;56;8.6;1.9;
2014-04-26;.2;19;13.3;8.9;81.5;56;8.5;2.5;
2014-04-27;0;21.4;15.6;12;71.7;53;10.8;4.2;
2014-04-28;0;20.9;15.7;11.9;70;52;12.4;5.1;
2014-04-29;0;22;17.1;13.6;72.1;56;10.4;3.4;
2014-04-30;3.4;18.7;15.8;14.3;87.3;69;15.3;5;
2014-05-01;5.6;18.2;16;15.1;84.3;69;18.4;4.4;
2014-05-02;.6;20.2;14.5;11.6;80;56;10;1.7;
2014-05-03;0;23;16.4;11.1;76.9;61;8.6;3;
2014-05-04;.6;19.8;17;13.4;87.5;72;11.3;2.7;
2014-05-05;9.6;24.4;19;15.4;80.1;58;6.3;1.8;
2014-05-06;1.2;24.8;19.6;17;83.8;60;7.2;2;
2014-05-07;.2;25.5;19.7;16.7;84.7;56;5.2;1.5;
2014-05-08;.2;22.1;18;17.3;91.3;68;11.6;2.2;
2014-05-09;.8;17.9;14.3;12;82.3;60;6.7;1.9;
2014-05-10;0;17.6;14.2;12.1;82.7;67;9.5;2.8;
2014-05-11;0;20.3;14.8;11.2;72;54;11;4.3;
2014-05-12;0;21.5;15.7;11.7;73.7;54;11.5;3.3;
2014-05-13;3.6;20.4;16.3;13.7;81.4;64;9.6;2.1;
2014-05-14;1.4;22.4;16.2;11.2;84;54;5.6;1.8;
2014-05-15;0;22.8;17.1;12.2;86.2;66;27.9;2.7;
2014-05-16;39.6;18.9;14.9;13.2;93.3;75;6;1.2;
2014-05-17;.2;22.2;15.3;11.6;87;59;7.3;2.1;
2014-05-18;.2;19.6;15;11.4;90.7;72;5;1.4;
2014-05-19;0;21.7;15;11.9;87.1;58;5.9;1.6;
2014-05-20;.2;19.9;13.9;11.6;92.5;70;4.8;1.2;
2014-05-21;0;16.6;15.2;12.7;92.3;86;20.1;3.4;
2014-05-22;41;18.7;16;14.9;92.5;88;18.4;3.4;
2014-05-23;1;11.1;8.1;7.6;92.5;88;12.2;2.2;
2014-05-24;.2;11.7;7.3;5.1;89.4;68;4.4;.8;
2014-05-25;0;13.2;8.5;4.7;92.5;80;5.7;1.1;
2014-05-26;5.4;12.5;9.9;6.4;95.8;86;9.1;1.9;
2014-05-27;.4;14.3;9.9;7.3;91.3;70;4.7;1.1;
2014-05-28;.4;14.9;9.2;5.9;88.2;57;5.4;1.6;
2014-05-29;0;18.2;11.2;6.3;77.4;49;9.1;3.4;
2014-05-30;0;20.1;14.6;7.3;71.1;53;13.7;4.7;
2014-05-31;33.2;16.2;13.2;12.1;90.8;67;14.1;5.4;
2014-06-01;19.8;17.2;13.5;12.2;91.5;64;11;3.4;
2014-06-02;.4;14.4;9.2;4.7;81.9;52;8.9;1.4;
2014-06-03;.2;17.4;9.5;3.3;77.7;43;6.1;2.4;
2014-06-04;0;19.9;13.1;3.9;58.5;39;11.1;3.9;
2014-06-05;39;18.1;13.5;10.2;94.7;47;14.1;3.5;
2014-06-06;21.6;15.3;13.8;12.7;95.3;91;9.8;1.9;
2014-06-07;0;19.9;16.6;12.9;89.7;81;9.3;2.8;
2014-06-08;1.4;17.9;13;13;96;89;9.5;2.2;
2014-06-09;1.4;15.5;10.4;6.5;87.6;66;6;1.5;
2014-06-10;.2;16.5;11.2;6.6;81.6;56;8.1;2.5;
2014-06-11;0;21.2;15.9;8.2;75.8;63;14.8;6;
2014-06-12;0;23.7;19.1;14.8;71.7;54;16.2;6.8;
2014-06-13;0;20.1;17.5;18.3;83.8;71;16.4;4.4;
2014-06-14;45.6;14.3;12.7;11.4;94.4;90;9.2;2.4;
